Strain,Mutations,Number/ID,Levo Conc.,IPTG,Date Recorded,Time,Well Number,Well Reading
BW25113,ΔmdtK ΔacrAB,JOE7053,5 ng/mL,-,1/31/2023,0:00,B2,0.094
BW25113,ΔmdtK ΔacrAB,JOE7053,5 ng/mL,+,1/31/2023,0:00,B7,0.093
BW25113,ΔmdtK ΔacrAB,JOE7054,5 ng/mL,-,1/31/2023,0:00,B3,0.097
BW25113,ΔmdtK ΔacrAB,JOE7054,5 ng/mL,+,1/31/2023,0:00,B8,0.093
BW25113,ΔmdtK ΔacrAB,JOE7055,5 ng/mL,-,1/31/2023,0:00,B4,0.094
BW25113,ΔmdtK ΔacrAB,JOE7055,5 ng/mL,+,1/31/2023,0:00,B9,0.094
BW25113,ΔmdtK ΔacrAB,JOE7056,5 ng/mL,-,1/31/2023,0:00,B5,0.091
BW25113,ΔmdtK ΔacrAB,JOE7056,5 ng/mL,+,1/31/2023,0:00,B10,0.093
BW25113,ΔmdtK ΔacrAB,JOE7057,5 ng/mL,-,1/31/2023,0:00,B6,0.092
BW25113,ΔmdtK ΔacrAB,JOE7057,5 ng/mL,+,1/31/2023,0:00,B11,0.091
BW25113,ΔmdtK ΔacrAB,JOE7053,2.5 ng/mL,-,1/31/2023,0:00,C2,0.093
BW25113,ΔmdtK ΔacrAB,JOE7053,2.5 ng/mL,+,1/31/2023,0:00,C7,0.093
BW25113,ΔmdtK ΔacrAB,JOE7054,2.5 ng/mL,-,1/31/2023,0:00,C3,0.094
BW25113,ΔmdtK ΔacrAB,JOE7054,2.5 ng/mL,+,1/31/2023,0:00,C8,0.091
BW25113,ΔmdtK ΔacrAB,JOE7055,2.5 ng/mL,-,1/31/2023,0:00,C4,0.094
BW25113,ΔmdtK ΔacrAB,JOE7055,2.5 ng/mL,+,1/31/2023,0:00,C9,0.091
BW25113,ΔmdtK ΔacrAB,JOE7056,2.5 ng/mL,-,1/31/2023,0:00,C5,0.091
BW25113,ΔmdtK ΔacrAB,JOE7056,2.5 ng/mL,+,1/31/2023,0:00,C10,0.093
BW25113,ΔmdtK ΔacrAB,JOE7057,2.5 ng/mL,-,1/31/2023,0:00,C6,0.092
BW25113,ΔmdtK ΔacrAB,JOE7057,2.5 ng/mL,+,1/31/2023,0:00,C11,0.092
BW25113,ΔmdtK ΔacrAB,JOE7053,1.25 ng/mL,-,1/31/2023,0:00,D2,0.094
BW25113,ΔmdtK ΔacrAB,JOE7053,1.25 ng/mL,+,1/31/2023,0:00,D7,0.092
BW25113,ΔmdtK ΔacrAB,JOE7054,1.25 ng/mL,-,1/31/2023,0:00,D3,0.094
BW25113,ΔmdtK ΔacrAB,JOE7054,1.25 ng/mL,+,1/31/2023,0:00,D8,0.092
BW25113,ΔmdtK ΔacrAB,JOE7055,1.25 ng/mL,-,1/31/2023,0:00,D4,0.094
BW25113,ΔmdtK ΔacrAB,JOE7055,1.25 ng/mL,+,1/31/2023,0:00,D9,0.093
BW25113,ΔmdtK ΔacrAB,JOE7056,1.25 ng/mL,-,1/31/2023,0:00,D5,0.094
BW25113,ΔmdtK ΔacrAB,JOE7056,1.25 ng/mL,+,1/31/2023,0:00,D10,0.094
BW25113,ΔmdtK ΔacrAB,JOE7057,1.25 ng/mL,-,1/31/2023,0:00,D6,0.093
BW25113,ΔmdtK ΔacrAB,JOE7057,1.25 ng/mL,+,1/31/2023,0:00,D11,0.093
BW25113,ΔmdtK ΔacrAB,JOE7053,0 ng/mL,-,1/31/2023,0:00,H2,0.092
BW25113,ΔmdtK ΔacrAB,JOE7053,0 ng/mL,+,1/31/2023,0:00,H7,0.093
BW25113,ΔmdtK ΔacrAB,JOE7054,0 ng/mL,-,1/31/2023,0:00,H3,0.095
BW25113,ΔmdtK ΔacrAB,JOE7054,0 ng/mL,+,1/31/2023,0:00,H8,0.092
BW25113,ΔmdtK ΔacrAB,JOE7055,0 ng/mL,-,1/31/2023,0:00,H4,0.094
BW25113,ΔmdtK ΔacrAB,JOE7055,0 ng/mL,+,1/31/2023,0:00,H9,0.093
BW25113,ΔmdtK ΔacrAB,JOE7056,0 ng/mL,-,1/31/2023,0:00,H5,0.093
BW25113,ΔmdtK ΔacrAB,JOE7056,0 ng/mL,+,1/31/2023,0:00,H10,0.092
BW25113,ΔmdtK ΔacrAB,JOE7057,0 ng/mL,-,1/31/2023,0:00,H6,0.093
BW25113,ΔmdtK ΔacrAB,JOE7057,0 ng/mL,+,1/31/2023,0:00,H11,0.092
BW25113,ΔmdtK ΔacrAB,JOE7053,5 ng/mL,-,2/7/2023,0:00,B7,0.094
BW25113,ΔmdtK ΔacrAB,JOE7053,5 ng/mL,+,2/7/2023,0:00,B2,0.094
BW25113,ΔmdtK ΔacrAB,JOE7054,5 ng/mL,-,2/7/2023,0:00,B8,0.096
BW25113,ΔmdtK ΔacrAB,JOE7054,5 ng/mL,+,2/7/2023,0:00,B3,0.093
BW25113,ΔmdtK ΔacrAB,JOE7055,5 ng/mL,-,2/7/2023,0:00,B9,0.094
BW25113,ΔmdtK ΔacrAB,JOE7055,5 ng/mL,+,2/7/2023,0:00,B4,0.094
BW25113,ΔmdtK ΔacrAB,JOE7056,5 ng/mL,-,2/7/2023,0:00,B10,0.094
BW25113,ΔmdtK ΔacrAB,JOE7056,5 ng/mL,+,2/7/2023,0:00,B5,0.093
BW25113,ΔmdtK ΔacrAB,JOE7057,5 ng/mL,-,2/7/2023,0:00,B11,0.092
BW25113,ΔmdtK ΔacrAB,JOE7057,5 ng/mL,+,2/7/2023,0:00,B6,0.094
BW25113,ΔmdtK ΔacrAB,JOE7053,2.5 ng/mL,-,2/7/2023,0:00,C7,0.094
BW25113,ΔmdtK ΔacrAB,JOE7053,2.5 ng/mL,+,2/7/2023,0:00,C2,0.095
BW25113,ΔmdtK ΔacrAB,JOE7054,2.5 ng/mL,-,2/7/2023,0:00,C8,0.093
BW25113,ΔmdtK ΔacrAB,JOE7054,2.5 ng/mL,+,2/7/2023,0:00,C3,0.095
BW25113,ΔmdtK ΔacrAB,JOE7055,2.5 ng/mL,-,2/7/2023,0:00,C9,0.093
BW25113,ΔmdtK ΔacrAB,JOE7055,2.5 ng/mL,+,2/7/2023,0:00,C4,0.095
BW25113,ΔmdtK ΔacrAB,JOE7056,2.5 ng/mL,-,2/7/2023,0:00,C10,0.095
BW25113,ΔmdtK ΔacrAB,JOE7056,2.5 ng/mL,+,2/7/2023,0:00,C5,0.092
BW25113,ΔmdtK ΔacrAB,JOE7057,2.5 ng/mL,-,2/7/2023,0:00,C11,0.092
BW25113,ΔmdtK ΔacrAB,JOE7057,2.5 ng/mL,+,2/7/2023,0:00,C6,0.093
BW25113,ΔmdtK ΔacrAB,JOE7053,1.25 ng/mL,-,2/7/2023,0:00,D7,0.092
BW25113,ΔmdtK ΔacrAB,JOE7053,1.25 ng/mL,+,2/7/2023,0:00,D2,0.095
BW25113,ΔmdtK ΔacrAB,JOE7054,1.25 ng/mL,-,2/7/2023,0:00,D8,0.094
BW25113,ΔmdtK ΔacrAB,JOE7054,1.25 ng/mL,+,2/7/2023,0:00,D3,0.095
BW25113,ΔmdtK ΔacrAB,JOE7055,1.25 ng/mL,-,2/7/2023,0:00,D9,0.094
BW25113,ΔmdtK ΔacrAB,JOE7055,1.25 ng/mL,+,2/7/2023,0:00,D4,0.096
BW25113,ΔmdtK ΔacrAB,JOE7056,1.25 ng/mL,-,2/7/2023,0:00,D10,0.095
BW25113,ΔmdtK ΔacrAB,JOE7056,1.25 ng/mL,+,2/7/2023,0:00,D5,0.095
BW25113,ΔmdtK ΔacrAB,JOE7057,1.25 ng/mL,-,2/7/2023,0:00,D11,0.094
BW25113,ΔmdtK ΔacrAB,JOE7057,1.25 ng/mL,+,2/7/2023,0:00,D6,0.094
BW25113,ΔmdtK ΔacrAB,JOE7053,0 ng/mL,-,2/7/2023,0:00,H7,0.094
BW25113,ΔmdtK ΔacrAB,JOE7053,0 ng/mL,+,2/7/2023,0:00,H2,0.093
BW25113,ΔmdtK ΔacrAB,JOE7054,0 ng/mL,-,2/7/2023,0:00,H8,0.094
BW25113,ΔmdtK ΔacrAB,JOE7054,0 ng/mL,+,2/7/2023,0:00,H3,0.093
BW25113,ΔmdtK ΔacrAB,JOE7055,0 ng/mL,-,2/7/2023,0:00,H9,0.094
BW25113,ΔmdtK ΔacrAB,JOE7055,0 ng/mL,+,2/7/2023,0:00,H4,0.095
BW25113,ΔmdtK ΔacrAB,JOE7056,0 ng/mL,-,2/7/2023,0:00,H10,0.093
BW25113,ΔmdtK ΔacrAB,JOE7056,0 ng/mL,+,2/7/2023,0:00,H5,0.098
BW25113,ΔmdtK ΔacrAB,JOE7057,0 ng/mL,-,2/7/2023,0:00,H11,0.092
