Strain,Mutations,Number/ID,Nor Conc.,IPTG,Date Recorded,Time,Well Number,Well Reading
BL21,Δ7,JOE7060,5 ng/mL,-,4/11/2023,0:00,C7,0.097
BL21,Δ7,JOE7060,5 ng/mL,+,4/11/2023,0:00,C2,0.1
BL21,Δ7,JOE7061,5 ng/mL,-,4/11/2023,0:00,C8,0.095
BL21,Δ7,JOE7061,5 ng/mL,+,4/11/2023,0:00,C3,0.097
BL21,Δ7,JOE7199,5 ng/mL,-,4/11/2023,0:00,C9,0.097
BL21,Δ7,JOE7199,5 ng/mL,+,4/11/2023,0:00,C4,0.098
BL21,Δ7,JOE7200,5 ng/mL,-,4/11/2023,0:00,C10,0.097
BL21,Δ7,JOE7200,5 ng/mL,+,4/11/2023,0:00,C5,0.098
BL21,Δ7,JOE7201,5 ng/mL,-,4/11/2023,0:00,C11,0.097
BL21,Δ7,JOE7201,5 ng/mL,+,4/11/2023,0:00,C6,0.095
BL21,Δ7,JOE7060,2.5 ng/mL,-,4/11/2023,0:00,D7,0.096
BL21,Δ7,JOE7060,2.5 ng/mL,+,4/11/2023,0:00,D2,0.1
BL21,Δ7,JOE7061,2.5 ng/mL,-,4/11/2023,0:00,D8,0.098
BL21,Δ7,JOE7061,2.5 ng/mL,+,4/11/2023,0:00,D3,0.098
BL21,Δ7,JOE7199,2.5 ng/mL,-,4/11/2023,0:00,D9,0.098
BL21,Δ7,JOE7199,2.5 ng/mL,+,4/11/2023,0:00,D4,0.098
BL21,Δ7,JOE7200,2.5 ng/mL,-,4/11/2023,0:00,D10,0.098
BL21,Δ7,JOE7200,2.5 ng/mL,+,4/11/2023,0:00,D5,0.097
BL21,Δ7,JOE7201,2.5 ng/mL,-,4/11/2023,0:00,D11,0.098
BL21,Δ7,JOE7201,2.5 ng/mL,+,4/11/2023,0:00,D6,0.096
BL21,Δ7,JOE7060,1.25 ng/mL,-,4/11/2023,0:00,E7,0.097
BL21,Δ7,JOE7060,1.25 ng/mL,+,4/11/2023,0:00,E2,0.099
BL21,Δ7,JOE7061,1.25 ng/mL,-,4/11/2023,0:00,E8,0.098
BL21,Δ7,JOE7061,1.25 ng/mL,+,4/11/2023,0:00,E3,0.097
BL21,Δ7,JOE7199,1.25 ng/mL,-,4/11/2023,0:00,E9,0.098
BL21,Δ7,JOE7199,1.25 ng/mL,+,4/11/2023,0:00,E4,0.098
BL21,Δ7,JOE7200,1.25 ng/mL,-,4/11/2023,0:00,E10,0.097
BL21,Δ7,JOE7200,1.25 ng/mL,+,4/11/2023,0:00,E5,0.096
BL21,Δ7,JOE7201,1.25 ng/mL,-,4/11/2023,0:00,E11,0.098
BL21,Δ7,JOE7201,1.25 ng/mL,+,4/11/2023,0:00,E6,0.097
BL21,Δ7,JOE7060,0 ng/mL,-,4/11/2023,0:00,H7,0.1
BL21,Δ7,JOE7060,0 ng/mL,+,4/11/2023,0:00,H2,0.097
BL21,Δ7,JOE7061,0 ng/mL,-,4/11/2023,0:00,H8,0.1
