Strain,Mutations,Number/ID,Tet Conc.,IPTG,Date Recorded,Time,Well Number,Well Reading
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,0:00,C2,0.092
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,0:29,C2,0.092
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,0:59,C2,0.092
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,1:29,C2,0.092
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,1:59,C2,0.092
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,2:29,C2,0.093
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,2:59,C2,0.093
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,3:29,C2,0.093
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,3:59,C2,0.094
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,4:29,C2,0.094
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,4:59,C2,0.095
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,5:29,C2,0.096
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,5:59,C2,0.096
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,6:29,C2,0.097
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,6:59,C2,0.098
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,7:29,C2,0.099
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,7:59,C2,0.101
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,8:29,C2,0.102
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,8:59,C2,0.104
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,9:29,C2,0.106
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,9:59,C2,0.108
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,10:29,C2,0.112
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,10:59,C2,0.115
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,11:29,C2,0.119
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,11:59,C2,0.124
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,12:29,C2,0.13
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,12:59,C2,0.136
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,13:29,C2,0.144
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,13:59,C2,0.153
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,14:29,C2,0.164
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,14:59,C2,0.177
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,15:29,C2,0.193
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,15:59,C2,0.211
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,16:29,C2,0.231
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,16:59,C2,0.257
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,17:29,C2,0.286
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,17:59,C2,0.321
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,18:29,C2,0.359
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,18:59,C2,0.405
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,19:29,C2,0.452
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,19:59,C2,0.494
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,20:29,C2,0.542
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,20:59,C2,0.597
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,21:29,C2,0.676
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,21:59,C2,0.704
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,22:29,C2,0.736
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,22:59,C2,0.772
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,23:29,C2,0.807
BL21,Δ7,JOE7060,156 ng/mL,+,4/28,23:59,C2,0.839
BL21,Δ7,JOE7061,156 ng/mL,+,4/28,0:00,C3,0.09
BL21,Δ7,JOE7061,156 ng/mL,+,4/28,0:29,C3,0.091
BL21,Δ7,JOE7061,156 ng/mL,+,4/28,0:59,C3,0.091
BL21,Δ7,JOE7061,156 ng/mL,+,4/28,1:29,C3,0.091
BL21,Δ7,JOE7061,156 ng/mL,+,4/28,1:59,C3,0.091
BL21,Δ7,JOE7061,156 ng/mL,+,4/28,2:29,C3,0.092
BL21,Δ7,JOE7061,156 ng/mL,+,4/28,2:59,C3,0.092
BL21,Δ7,JOE7061,156 ng/mL,+,4/28,3:29,C3,0.092
BL21,Δ7,JOE7061,156 ng/mL,+,4/28,3:59,C3,0.093
