Strain,Mutations,Number/ID,Tet Conc.,IPTG,Date Recorded,Time,Well Number,Well Reading
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,0:00,C10,0.095
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,0:29,C10,0.095
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,0:59,C10,0.096
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,1:29,C10,0.097
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,1:59,C10,0.097
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,2:29,C10,0.098
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,2:59,C10,0.099
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,3:29,C10,0.1
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,3:59,C10,0.101
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,4:29,C10,0.102
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,4:59,C10,0.103
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,5:29,C10,0.105
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,5:59,C10,0.106
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,6:29,C10,0.107
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,6:59,C10,0.109
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,7:29,C10,0.111
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,7:59,C10,0.113
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,8:29,C10,0.115
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,8:59,C10,0.117
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,9:29,C10,0.119
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,9:59,C10,0.121
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,10:29,C10,0.124
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,10:59,C10,0.127
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,11:29,C10,0.13
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,11:59,C10,0.133
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,12:29,C10,0.135
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,12:59,C10,0.138
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,13:29,C10,0.142
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,13:59,C10,0.145
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,14:29,C10,0.148
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,14:59,C10,0.151
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,15:29,C10,0.156
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,15:59,C10,0.159
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,16:29,C10,0.163
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,16:59,C10,0.167
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,17:29,C10,0.172
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,17:59,C10,0.177
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,18:29,C10,0.184
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,18:59,C10,0.189
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,19:29,C10,0.193
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,19:59,C10,0.201
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,20:29,C10,0.207
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,20:59,C10,0.217
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,21:29,C10,0.223
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,21:59,C10,0.234
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,22:29,C10,0.24
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,22:59,C10,0.25
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,23:29,C10,0.26
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,-,7/1/2022,23:59,C10,0.266
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,0:00,C11,0.096
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,0:29,C11,0.097
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,0:59,C11,0.097
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,1:29,C11,0.098
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,1:59,C11,0.099
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,2:29,C11,0.099
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,2:59,C11,0.1
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,3:29,C11,0.101
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,3:59,C11,0.102
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,4:29,C11,0.103
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,4:59,C11,0.104
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,5:29,C11,0.105
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,5:59,C11,0.107
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,6:29,C11,0.108
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,6:59,C11,0.109
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,7:29,C11,0.111
