Strain,Mutations,Number/ID,Tet Conc.,Date Recorded,Time,Well Number,Well Reading
BL21,wt,JOE2354,156 ng/mL,7/25/2022,0:00,E2,0.095
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,0:00,E3,0.096
BL21,wt,JOE2354,78 ng/mL,7/25/2022,0:00,F2,0.094
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,0:00,F3,0.097
BL21,wt,JOE2354,0 ng/mL,7/25/2022,0:00,H2,0.093
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,0:00,H3,0.096
BL21,wt,JOE2354,156 ng/mL,9/13/2022,0:00,E2,0.098
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,0:00,E3,0.095
BL21,wt,JOE2354,78 ng/mL,9/13/2022,0:00,F2,0.096
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,0:00,F3,0.096
BL21,wt,JOE2354,0 ng/mL,9/13/2022,0:00,H2,0.095
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,0:00,H3,0.095
BL21,wt,JOE2354,156 ng/mL,7/25/2022,0:29,E2,0.096
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,0:29,E3,0.096
BL21,wt,JOE2354,78 ng/mL,7/25/2022,0:29,F2,0.095
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,0:29,F3,0.098
BL21,wt,JOE2354,0 ng/mL,7/25/2022,0:29,H2,0.095
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,0:29,H3,0.097
BL21,wt,JOE2354,156 ng/mL,9/13/2022,0:29,E2,0.099
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,0:29,E3,0.095
BL21,wt,JOE2354,78 ng/mL,9/13/2022,0:29,F2,0.097
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,0:29,F3,0.096
BL21,wt,JOE2354,0 ng/mL,9/13/2022,0:29,H2,0.097
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,0:29,H3,0.095
BL21,wt,JOE2354,156 ng/mL,7/25/2022,0:59,E2,0.096
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,0:59,E3,0.096
BL21,wt,JOE2354,78 ng/mL,7/25/2022,0:59,F2,0.096
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,0:59,F3,0.099
BL21,wt,JOE2354,0 ng/mL,7/25/2022,0:59,H2,0.098
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,0:59,H3,0.098
BL21,wt,JOE2354,156 ng/mL,9/13/2022,0:59,E2,0.1
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,0:59,E3,0.095
BL21,wt,JOE2354,78 ng/mL,9/13/2022,0:59,F2,0.098
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,0:59,F3,0.096
BL21,wt,JOE2354,0 ng/mL,9/13/2022,0:59,H2,0.099
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,0:59,H3,0.095
BL21,wt,JOE2354,156 ng/mL,7/25/2022,1:29,E2,0.097
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,1:29,E3,0.097
BL21,wt,JOE2354,78 ng/mL,7/25/2022,1:29,F2,0.097
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,1:29,F3,0.099
BL21,wt,JOE2354,0 ng/mL,7/25/2022,1:29,H2,0.103
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,1:29,H3,0.1
BL21,wt,JOE2354,156 ng/mL,9/13/2022,1:29,E2,0.1
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,1:29,E3,0.095
BL21,wt,JOE2354,78 ng/mL,9/13/2022,1:29,F2,0.099
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,1:29,F3,0.096
BL21,wt,JOE2354,0 ng/mL,9/13/2022,1:29,H2,0.103
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,1:29,H3,0.096
BL21,wt,JOE2354,156 ng/mL,7/25/2022,1:59,E2,0.098
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,1:59,E3,0.098
BL21,wt,JOE2354,78 ng/mL,7/25/2022,1:59,F2,0.099
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,1:59,F3,0.1
BL21,wt,JOE2354,0 ng/mL,7/25/2022,1:59,H2,0.113
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,1:59,H3,0.104
