Strain,Mutations,Number/ID,Tet Conc.,Date Recorded,Time,Well Number,Well Reading
BW25113,wt,JOE6970,625 ng/mL,7/25/2022,0:00,C4,0.102
BW25113,ΔmdtK::kan,JOE6971,625 ng/mL,7/25/2022,0:00,C5,0.095
BW25113,ΔacrAB::kan,JOE6974,625 ng/mL,7/25/2022,0:00,C6,0.093
BW25113,ΔacrAB,JOE6975,625 ng/mL,7/25/2022,0:00,C7,0.096
BW25113,ΔacrAB ΔmdtK,JOE7051,625 ng/mL,7/25/2022,0:00,C8,0.096
BW25113,ΔacrAB ΔmdtK,JOE7052,625 ng/mL,7/25/2022,0:00,C9,0.096
BW25113,wt,JOE6970,313 ng/mL,7/25/2022,0:00,D4,0.097
BW25113,ΔmdtK::kan,JOE6971,313 ng/mL,7/25/2022,0:00,D5,0.098
BW25113,ΔacrAB::kan,JOE6974,313 ng/mL,7/25/2022,0:00,D6,0.095
BW25113,ΔacrAB,JOE6975,313 ng/mL,7/25/2022,0:00,D7,0.096
BW25113,ΔacrAB ΔmdtK,JOE7051,313 ng/mL,7/25/2022,0:00,D8,0.095
BW25113,ΔacrAB ΔmdtK,JOE7052,313 ng/mL,7/25/2022,0:00,D9,0.098
BW25113,wt,JOE6970,156 ng/mL,7/25/2022,0:00,E4,0.096
BW25113,ΔmdtK::kan,JOE6971,156 ng/mL,7/25/2022,0:00,E5,0.097
BW25113,ΔacrAB::kan,JOE6974,156 ng/mL,7/25/2022,0:00,E6,0.096
BW25113,ΔacrAB,JOE6975,156 ng/mL,7/25/2022,0:00,E7,0.095
BW25113,ΔacrAB ΔmdtK,JOE7051,156 ng/mL,7/25/2022,0:00,E8,0.097
BW25113,ΔacrAB ΔmdtK,JOE7052,156 ng/mL,7/25/2022,0:00,E9,0.096
BW25113,wt,JOE6970,78 ng./mL,7/25/2022,0:00,F4,0.095
BW25113,ΔmdtK::kan,JOE6971,78 ng/mL,7/25/2022,0:00,F5,0.095
BW25113,ΔacrAB::kan,JOE6974,78 ng/mL,7/25/2022,0:00,F6,0.096
BW25113,ΔacrAB,JOE6975,78 ng/mL,7/25/2022,0:00,F7,0.094
BW25113,ΔacrAB ΔmdtK,JOE7051,78 ng/mL,7/25/2022,0:00,F8,0.095
BW25113,ΔacrAB ΔmdtK,JOE7052,78 ng/mL,7/25/2022,0:00,F9,0.098
BW25113,wt,JOE6970,0 ng/mL,7/25/2022,0:00,H4,0.095
BW25113,ΔmdtK::kan,JOE6971,0 ng/mL,7/25/2022,0:00,H5,0.096
BW25113,ΔacrAB::kan,JOE6974,0 ng/mL,7/25/2022,0:00,H6,0.096
