Strain,Mutations,Number/ID,Nor Conc.,IPTG,Date Recorded,Time,Well Number,Well Reading
BW25113,ΔmdtK ΔacrAB,JOE7053,20 ng/mL,-,8/9/2022,0:00,D7,0.097
BW25113,ΔmdtK ΔacrAB,JOE7053,20 ng/mL,+,8/9/2022,0:00,D2,0.098
BW25113,ΔmdtK ΔacrAB,JOE7054,20 ng/mL,-,8/9/2022,0:00,D8,0.097
BW25113,ΔmdtK ΔacrAB,JOE7054,20 ng/mL,+,8/9/2022,0:00,D3,0.096
BW25113,ΔmdtK ΔacrAB,JOE7055,20 ng/mL,-,8/9/2022,0:00,D9,0.103
BW25113,ΔmdtK ΔacrAB,JOE7055,20 ng/mL,+,8/9/2022,0:00,D4,0.097
BW25113,ΔmdtK ΔacrAB,JOE7056,20 ng/mL,-,8/9/2022,0:00,D10,0.095
BW25113,ΔmdtK ΔacrAB,JOE7056,20 ng/mL,+,8/9/2022,0:00,D5,0.097
BW25113,ΔmdtK ΔacrAB,JOE7057,20 ng/mL,-,8/9/2022,0:00,D10,0.095
BW25113,ΔmdtK ΔacrAB,JOE7057,20 ng/mL,+,8/9/2022,0:00,D6,0.096
BW25113,ΔmdtK ΔacrAB,JOE7053,10 ng/mL,-,8/9/2022,0:00,E7,0.095
BW25113,ΔmdtK ΔacrAB,JOE7053,10 ng/mL,+,8/9/2022,0:00,E2,0.096
BW25113,ΔmdtK ΔacrAB,JOE7054,10 ng/mL,-,8/9/2022,0:00,E8,0.098
BW25113,ΔmdtK ΔacrAB,JOE7054,10 ng/mL,+,8/9/2022,0:00,E3,0.095
BW25113,ΔmdtK ΔacrAB,JOE7055,10 ng/mL,-,8/9/2022,0:00,E9,0.094
BW25113,ΔmdtK ΔacrAB,JOE7055,10 ng/mL,+,8/9/2022,0:00,E4,0.097
BW25113,ΔmdtK ΔacrAB,JOE7056,10 ng/mL,-,8/9/2022,0:00,E10,0.098
BW25113,ΔmdtK ΔacrAB,JOE7056,10 ng/mL,+,8/9/2022,0:00,E5,0.094
BW25113,ΔmdtK ΔacrAB,JOE7057,10 ng/mL,-,8/9/2022,0:00,E11,0.097
BW25113,ΔmdtK ΔacrAB,JOE7057,10 ng/mL,+,8/9/2022,0:00,E6,0.096
BW25113,ΔmdtK ΔacrAB,JOE7053,0 ng/mL,-,8/9/2022,0:00,H7,0.096
BW25113,ΔmdtK ΔacrAB,JOE7053,0 ng/mL,+,8/9/2022,0:00,H2,0.094
BW25113,ΔmdtK ΔacrAB,JOE7054,0 ng/mL,-,8/9/2022,0:00,H8,0.096
BW25113,ΔmdtK ΔacrAB,JOE7054,0 ng/mL,+,8/9/2022,0:00,H3,0.095
BW25113,ΔmdtK ΔacrAB,JOE7055,0 ng/mL,-,8/9/2022,0:00,H9,0.095
BW25113,ΔmdtK ΔacrAB,JOE7055,0 ng/mL,+,8/9/2022,0:00,H4,0.094
BW25113,ΔmdtK ΔacrAB,JOE7056,0 ng/mL,-,8/9/2022,0:00,H10,0.096
BW25113,ΔmdtK ΔacrAB,JOE7056,0 ng/mL,+,8/9/2022,0:00,H5,0.097
BW25113,ΔmdtK ΔacrAB,JOE7057,0 ng/mL,-,8/9/2022,0:00,H11,0.096
BW25113,ΔmdtK ΔacrAB,JOE7057,0 ng/mL,+,8/9/2022,0:00,H6,0.097
BW25113,ΔmdtK ΔacrAB,JOE7053,20 ng/mL,-,8/11/2022,0:00,E11,0.092
BW25113,ΔmdtK ΔacrAB,JOE7053,20 ng/mL,+,8/11/2022,0:00,E6,0.095
BW25113,ΔmdtK ΔacrAB,JOE7054,20 ng/mL,-,8/11/2022,0:00,E10,0.093
BW25113,ΔmdtK ΔacrAB,JOE7054,20 ng/mL,+,8/11/2022,0:00,E5,0.091
BW25113,ΔmdtK ΔacrAB,JOE7055,20 ng/mL,-,8/11/2022,0:00,E9,0.094
BW25113,ΔmdtK ΔacrAB,JOE7055,20 ng/mL,+,8/11/2022,0:00,E4,0.092
BW25113,ΔmdtK ΔacrAB,JOE7056,20 ng/mL,-,8/11/2022,0:00,E8,0.093
BW25113,ΔmdtK ΔacrAB,JOE7056,20 ng/mL,+,8/11/2022,0:00,E3,0.093
BW25113,ΔmdtK ΔacrAB,JOE7057,20 ng/mL,-,8/11/2022,0:00,E8,0.093
BW25113,ΔmdtK ΔacrAB,JOE7057,20 ng/mL,+,8/11/2022,0:00,E2,0.092
BW25113,ΔmdtK ΔacrAB,JOE7053,10 ng/mL,-,8/11/2022,0:00,D11,0.094
BW25113,ΔmdtK ΔacrAB,JOE7053,10 ng/mL,+,8/11/2022,0:00,D6,0.091
BW25113,ΔmdtK ΔacrAB,JOE7054,10 ng/mL,-,8/11/2022,0:00,D10,0.092
BW25113,ΔmdtK ΔacrAB,JOE7054,10 ng/mL,+,8/11/2022,0:00,D5,0.092
BW25113,ΔmdtK ΔacrAB,JOE7055,10 ng/mL,-,8/11/2022,0:00,D9,0.093
BW25113,ΔmdtK ΔacrAB,JOE7055,10 ng/mL,+,8/11/2022,0:00,D4,0.092
BW25113,ΔmdtK ΔacrAB,JOE7056,10 ng/mL,-,8/11/2022,0:00,D8,0.091
BW25113,ΔmdtK ΔacrAB,JOE7056,10 ng/mL,+,8/11/2022,0:00,D3,0.093
BW25113,ΔmdtK ΔacrAB,JOE7057,10 ng/mL,-,8/11/2022,0:00,D7,0.091
BW25113,ΔmdtK ΔacrAB,JOE7057,10 ng/mL,+,8/11/2022,0:00,D2,0.092
BW25113,ΔmdtK ΔacrAB,JOE7053,0 ng/mL,-,8/11/2022,0:00,A11,0.091
BW25113,ΔmdtK ΔacrAB,JOE7053,0 ng/mL,+,8/11/2022,0:00,A6,0.092
BW25113,ΔmdtK ΔacrAB,JOE7054,0 ng/mL,-,8/11/2022,0:00,A10,0.09
BW25113,ΔmdtK ΔacrAB,JOE7054,0 ng/mL,+,8/11/2022,0:00,A5,0.091
BW25113,ΔmdtK ΔacrAB,JOE7055,0 ng/mL,-,8/11/2022,0:00,A9,0.094
BW25113,ΔmdtK ΔacrAB,JOE7055,0 ng/mL,+,8/11/2022,0:00,A4,0.09
BW25113,ΔmdtK ΔacrAB,JOE7056,0 ng/mL,-,8/11/2022,0:00,A8,0.091
BW25113,ΔmdtK ΔacrAB,JOE7056,0 ng/mL,+,8/11/2022,0:00,A3,0.09
BW25113,ΔmdtK ΔacrAB,JOE7057,0 ng/mL,-,8/11/2022,0:00,A7,0.093
BW25113,ΔmdtK ΔacrAB,JOE7057,0 ng/mL,+,8/11/2022,0:00,A2,0.091
BW25113,ΔmdtK ΔacrAB,JOE7053,20 ng/mL,-,8/19/2022,0:00,D2,0.094
BW25113,ΔmdtK ΔacrAB,JOE7053,20 ng/mL,+,8/19/2022,0:00,D7,0.091
BW25113,ΔmdtK ΔacrAB,JOE7054,20 ng/mL,-,8/19/2022,0:00,D3,0.096
BW25113,ΔmdtK ΔacrAB,JOE7054,20 ng/mL,+,8/19/2022,0:00,D8,0.092
BW25113,ΔmdtK ΔacrAB,JOE7055,20 ng/mL,-,8/19/2022,0:00,D4,0.097
BW25113,ΔmdtK ΔacrAB,JOE7055,20 ng/mL,+,8/19/2022,0:00,D9,0.092
BW25113,ΔmdtK ΔacrAB,JOE7056,20 ng/mL,-,8/19/2022,0:00,D5,0.093
BW25113,ΔmdtK ΔacrAB,JOE7056,20 ng/mL,+,8/19/2022,0:00,D10,0.093
BW25113,ΔmdtK ΔacrAB,JOE7057,20 ng/mL,-,8/19/2022,0:00,D5,0.093
BW25113,ΔmdtK ΔacrAB,JOE7057,20 ng/mL,+,8/19/2022,0:00,D11,0.097
BW25113,ΔmdtK ΔacrAB,JOE7053,10 ng/mL,-,8/19/2022,0:00,E2,0.093
BW25113,ΔmdtK ΔacrAB,JOE7053,10 ng/mL,+,8/19/2022,0:00,E7,0.093
BW25113,ΔmdtK ΔacrAB,JOE7054,10 ng/mL,-,8/19/2022,0:00,E3,0.095
BW25113,ΔmdtK ΔacrAB,JOE7054,10 ng/mL,+,8/19/2022,0:00,E8,0.092
BW25113,ΔmdtK ΔacrAB,JOE7055,10 ng/mL,-,8/19/2022,0:00,E4,0.095
