Strain,Mutations,Number/ID,Levo Conc.,Date Recorded,Time,Well Number,Well Reading
BW25113,wt,JOE6970,80 ng/mL,8-Nov,0:00,D4,0.095
BW25113,d_mdtK::kan,JOE6971,80 ng/mL,8-Nov,0:00,D5,0.093
BW25113,d_acrAB::kan,JOE6974,80 ng/mL,8-Nov,0:00,D6,0.091
BW25113,d_acrAB,JOE6975,80 ng/mL,8-Nov,0:00,D7,0.091
BW25113,"d_acrAB, d_mdtK",JOE7051,80 ng/mL,8-Nov,0:00,D8,0.092
BW25113,"d_acrAB, d_mdtK",JOE7052,80 ng/mL,8-Nov,0:00,D9,0.091
BW25113,wt,JOE6970,40 ng/mL,8-Nov,0:00,E4,0.092
BW25113,d_mdtK::kan,JOE6971,40 ng/mL,8-Nov,0:00,E5,0.092
BW25113,d_acrAB::kan,JOE6974,40 ng/mL,8-Nov,0:00,E6,0.093
BW25113,d_acrAB,JOE6975,40 ng/mL,8-Nov,0:00,E7,0.091
BW25113,"d_acrAB, d_mdtK",JOE7051,40 ng/mL,8-Nov,0:00,E8,0.092
BW25113,"d_acrAB, d_mdtK",JOE7052,40 ng/mL,8-Nov,0:00,E9,0.093
BW25113,wt,JOE6970,20 ng/mL,8-Nov,0:00,F4,0.09
BW25113,d_mdtK::kan,JOE6971,20 ng/mL,8-Nov,0:00,F5,0.092
BW25113,d_acrAB::kan,JOE6974,20 ng/mL,8-Nov,0:00,F6,0.091
BW25113,d_acrAB,JOE6975,20 ng/mL,8-Nov,0:00,F7,0.09
BW25113,"d_acrAB, d_mdtK",JOE7051,20 ng/mL,8-Nov,0:00,F8,0.091
BW25113,"d_acrAB, d_mdtK",JOE7052,20 ng/mL,8-Nov,0:00,F9,0.093
BW25113,wt,JOE6970,10 ng/mL,8-Nov,0:00,G4,0.093
BW25113,d_mdtK::kan,JOE6971,10 ng/mL,8-Nov,0:00,G5,0.091
BW25113,d_acrAB::kan,JOE6974,10 ng/mL,8-Nov,0:00,G6,0.093
BW25113,d_acrAB,JOE6975,10 ng/mL,8-Nov,0:00,G7,0.092
BW25113,"d_acrAB, d_mdtK",JOE7051,10 ng/mL,8-Nov,0:00,G8,0.093
BW25113,"d_acrAB, d_mdtK",JOE7052,10 ng/mL,8-Nov,0:00,G9,0.095
BW25113,wt,JOE6970,0 ng/mL,8-Nov,0:00,H4,0.091
BW25113,d_mdtK::kan,JOE6971,0 ng/mL,8-Nov,0:00,H5,0.091
BW25113,d_acrAB::kan,JOE6974,0 ng/mL,8-Nov,0:00,H6,0.093
BW25113,d_acrAB,JOE6975,0 ng/mL,8-Nov,0:00,H7,0.092
BW25113,"d_acrAB, d_mdtK",JOE7051,0 ng/mL,8-Nov,0:00,H8,0.092
BW25113,"d_acrAB, d_mdtK",JOE7052,0 ng/mL,8-Nov,0:00,H9,0.092
BW25113,wt,JOE6970,80 ng/mL,10-Nov,0:00,C4,0.096
BW25113,d_mdtK::kan,JOE6971,80 ng/mL,10-Nov,0:00,C5,0.093
BW25113,d_acrAB::kan,JOE6974,80 ng/mL,10-Nov,0:00,C6,0.095
BW25113,d_acrAB,JOE6975,80 ng/mL,10-Nov,0:00,C7,0.095
BW25113,"d_acrAB, d_mdtK",JOE7051,80 ng/mL,10-Nov,0:00,C8,0.094
BW25113,"d_acrAB, d_mdtK",JOE7052,80 ng/mL,10-Nov,0:00,C9,0.095
BW25113,wt,JOE6970,40 ng/mL,10-Nov,0:00,D4,0.097
BW25113,d_mdtK::kan,JOE6971,40 ng/mL,10-Nov,0:00,D5,0.097
BW25113,d_acrAB::kan,JOE6974,40 ng/mL,10-Nov,0:00,D6,0.094
BW25113,d_acrAB,JOE6975,40 ng/mL,10-Nov,0:00,D7,0.096
BW25113,"d_acrAB, d_mdtK",JOE7051,40 ng/mL,10-Nov,0:00,D8,0.094
BW25113,"d_acrAB, d_mdtK",JOE7052,40 ng/mL,10-Nov,0:00,D9,0.097
BW25113,wt,JOE6970,20 ng/mL,10-Nov,0:00,E4,0.095
BW25113,d_mdtK::kan,JOE6971,20 ng/mL,10-Nov,0:00,E5,0.096
BW25113,d_acrAB::kan,JOE6974,20 ng/mL,10-Nov,0:00,E6,0.093
BW25113,d_acrAB,JOE6975,20 ng/mL,10-Nov,0:00,E7,0.094
BW25113,"d_acrAB, d_mdtK",JOE7051,20 ng/mL,10-Nov,0:00,E8,0.095
BW25113,"d_acrAB, d_mdtK",JOE7052,20 ng/mL,10-Nov,0:00,E9,0.097
BW25113,wt,JOE6970,10 ng/mL,10-Nov,0:00,F4,0.097
BW25113,d_mdtK::kan,JOE6971,10 ng/mL,10-Nov,0:00,F5,0.096
BW25113,d_acrAB::kan,JOE6974,10 ng/mL,10-Nov,0:00,F6,0.095
BW25113,d_acrAB,JOE6975,10 ng/mL,10-Nov,0:00,F7,0.096
BW25113,"d_acrAB, d_mdtK",JOE7051,10 ng/mL,10-Nov,0:00,F8,0.095
BW25113,"d_acrAB, d_mdtK",JOE7052,10 ng/mL,10-Nov,0:00,F9,0.098
BW25113,wt,JOE6970,5 ng/mL,10-Nov,0:00,G4,0.101
BW25113,d_mdtK::kan,JOE6971,5 ng/mL,10-Nov,0:00,G5,0.101
